timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1718562517456,3563,Purchase Order Fetch,200,,GET Purchase Order 2-10,text,true,,628,206,13,16,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,3562,0,0
1718562519345,1682,Purchase Order Fetch,200,,GET Purchase Order 2-15,text,true,,628,206,13,16,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1682,0,0
1718562519626,1429,Purchase Order Fetch,200,,GET Purchase Order 2-9,text,true,,628,206,13,17,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1429,0,0
1718562518179,2897,Purchase Order Fetch,200,,GET Purchase Order 2-14,text,true,,628,206,12,15,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,2897,0,0
1718562519987,1418,Purchase Order Fetch,200,,GET Purchase Order 2-3,text,true,,628,206,12,15,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1417,0,0
1718562520642,816,Purchase Order Fetch,200,,GET Purchase Order 2-19,text,true,,628,206,11,14,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,815,0,0
1718562517098,4422,Purchase Order Fetch,200,,GET Purchase Order 2-17,text,true,,628,206,11,14,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,4421,0,1
1718562519823,1729,Purchase Order Fetch,200,,GET Purchase Order 2-16,text,true,,628,206,11,14,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1729,0,0
1718562519843,1815,Purchase Order Fetch,200,,GET Purchase Order 2-20,text,true,,628,206,11,13,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1814,0,0
1718562520871,1038,Purchase Order Fetch,200,,GET Purchase Order 2-11,text,true,,628,206,11,13,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1037,0,0
1718562521458,475,Purchase Order Fetch,200,,GET Purchase Order 2-19,text,true,,628,206,10,12,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,474,0,0
1718562520926,1137,Purchase Order Fetch,200,,GET Purchase Order 2-12,text,true,,628,206,10,11,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1025,0,0
1718562521028,1040,Purchase Order Fetch,200,,GET Purchase Order 2-15,text,true,,628,206,10,11,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1040,0,0
1718562520752,1375,Purchase Order Fetch,200,,GET Purchase Order 2-18,text,true,,628,206,10,11,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1375,0,0
1718562520694,1541,Purchase Order Fetch,200,,GET Purchase Order 2-13,text,true,,628,206,10,10,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1540,0,0
1718562521933,562,Purchase Order Fetch,200,,GET Purchase Order 2-19,text,true,,628,206,10,10,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,562,0,0
1718562521019,1537,Purchase Order Fetch,200,,GET Purchase Order 2-10,text,true,,628,206,10,10,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1537,0,0
1718562521553,1039,Purchase Order Fetch,200,,GET Purchase Order 2-16,text,true,,628,206,9,9,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1039,0,0
1718562522068,625,Purchase Order Fetch,200,,GET Purchase Order 2-15,text,true,,628,206,9,9,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,625,0,0
1718562521658,1155,Purchase Order Fetch,200,,GET Purchase Order 2-20,text,true,,628,206,9,9,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1154,0,0
1718562521520,1311,Purchase Order Fetch,200,,GET Purchase Order 2-17,text,true,,628,206,9,9,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1310,0,0
1718562522249,688,Purchase Order Fetch,200,,GET Purchase Order 2-13,text,true,,628,206,9,9,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,687,0,0
1718562521076,1986,Purchase Order Fetch,200,,GET Purchase Order 2-14,text,true,,628,206,9,10,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1985,0,0
1718562522127,1045,Purchase Order Fetch,200,,GET Purchase Order 2-18,text,true,,628,206,9,10,http://localhost:8080/api/v1/medmap/medicine/history/Amoxicillin,1045,0,0
